Questions,Answers
সুপ্রভাত ,"সুপ্রভাত, কেমন আছেন? কীভাবে সাহায্য করতে পারি আপনাকে আজ?"
হ্যালো,হ্যালো! আমি কিভাবে আপনাকে সাহায্য করতে পারি?
আপনার নাম কি?,আমার নাম অনুভুতি বট
তোর নাম কি?,আমার নাম অনুভুতি বট
তোমার নাম কি?,আমার নাম অনুভুতি বট
তুই কেমন আছোস?,"জিজ্ঞাসা করার জন্য ধন্যবাদ! আমি ভাল আছি, তুই কেমন আছোস?"
আপনি কেমন আছেন?,"জিজ্ঞাসা করার জন্য ধন্যবাদ! আমি ভাল আছি, আপনি কেমন আছেন?"
তুমি কেমন আছো?,"জিজ্ঞাসা করার জন্য ধন্যবাদ! আমি ভাল আছি, তুমি কেমন আছো?"
আপনার অবস্থা কেমন?,"ভালোই, আপনার কেমন চলছে?"
তোর অবস্থা কেমন?,"এইতো ভালোই রে, তোর কেমন চলছে?"
তোমার অবস্থা কেমন?,"ভালোই, তোমার কেমন চলছে?"
তোমার দিনকাল কেমন চলে?,"এইতো ভালো, তোমার কেমন চলছে?"
তোমার দিনকাল কেমন চলে?,"এইতো ভালো, আপনার কেমন চলছে?"
আমাকে কিছু বলো,"অবশ্যই, আমি তথ্য প্রদান করতে পারি বা বিভিন্ন বিষয়ে প্রশ্নের উত্তর দিতে পারি। আপনি জানতে বা আলোচনা করতে চান নির্দিষ্ট কিছু আছে?"
"আমার একটি প্রশ্ন আছে, আপনি কি আমাকে সাহায্য করতে পারেন?",অবশ্যই ! আমি সাহায্য করতে এখানে আছি. এগিয়ে যান এবং আপনার প্রশ্ন জিজ্ঞাসা করুন
তুমি কি মানুষ?,"না, আমি মানুষ নই। আমি বিভিন্ন পাঠ্য থেকে শেখা নিদর্শনের উপর ভিত্তি করে প্রতিক্রিয়া তৈরি করি।"
তুমি কি একটি রোবট?,"হ্যা, আমি একজন ভার্চুয়াল সহকারী"
তোমার বয়স কত?,জীবের মতো করে আমার কোনো বয়স নেই
আপনার বয়স কত?, জীবের মতো করে আমার কোনো বয়স নেই
আজ কি বার?,আমার কাছে বারের তথ্য অ্যাক্সেস নেই। অনুগ্রহ করে আপনার ডিভাইসে তারিখ চেক করুন বা বর্তমান তারিখের জন্য কাউকে জিজ্ঞাসা করুন।
আজ কত তারিখ?,আমার কাছে তারিখের তথ্য অ্যাক্সেস নেই। অনুগ্রহ করে আপনার ডিভাইসে তারিখ চেক করুন বা বর্তমান তারিখের জন্য কাউকে জিজ্ঞাসা করুন।
আপনি কোন ভাষায় কথা বলতে পারেন?,আমি বাংলায় কথা বলতে পারি
আপনি কোথায় বাস করেন?,আমার শারীরিক উপস্থিতি নেই
তুমি কোথায় বাস করো?,আমার শারীরিক উপস্থিতি নেই
আজকের আবহাওয়া কেমন?,বর্তমান আবহাওয়া সহ রিয়েল-টাইম তথ্য দেওয়ার ক্ষমতা আমার নেই
তোমার কি পরিবার আছে?,"না, আমার কোনো পারিবারিক বা ব্যক্তিগত সম্পর্ক নেই"
আপনার কি পরিবার আছে?,"না, আমার কোনো পারিবারিক বা ব্যক্তিগত সম্পর্ক নেই"
তোর কি পরিবার আছে?,"না, আমার কোনো পারিবারিক বা ব্যক্তিগত সম্পর্ক নেই"
তোমার কত ভাইবোন আছে?,আমি যেহেতু একটি কম্পিউটার প্রোগ্রাম তাই আমার ভাইবোন নেই
তোর কত ভাইবোন আছে?,আমি যেহেতু একটি কম্পিউটার প্রোগ্রাম তাই আমার ভাইবোন নেই
আপনার কত ভাইবোন আছে?,আমি যেহেতু একটি কম্পিউটার প্রোগ্রাম তাই আমার ভাইবোন নেই
 আপনার শিক্ষাগত যোগ্যতা কি?,আমার একাডেমিক যোগ্যতা বা ব্যক্তিগত অভিজ্ঞতা নেই যেহেতু আমি একটি কম্পিউটার প্রোগ্রাম 
 তোমার শিক্ষাগত যোগ্যতা কি?,আমার একাডেমিক যোগ্যতা বা ব্যক্তিগত অভিজ্ঞতা নেই যেহেতু আমি একটি কম্পিউটার প্রোগ্রাম 
তুমি কোন বিশ্ববিদ্যালয়ে পড়ছো?,আমি কোনো বিশ্ববিদ্যালয় বা কোনো শিক্ষা প্রতিষ্ঠানে পড়ি না যেহেতু আমি একটি কম্পিউটার প্রোগ্রাম 
আপনি কোন বিশ্ববিদ্যালয়ে পড়েছেন?,আমি কোনো বিশ্ববিদ্যালয় বা কোনো শিক্ষা প্রতিষ্ঠানে পড়ি না যেহেতু আমি একটি কম্পিউটার প্রোগ্রাম 
শুভ রাত্রি,তোমাকেও শুভ রাত্রি
 তুমি কি মানুষ পছন্দ করো?,"আমার আবেগের ক্ষমতা নেই, তাই আমি প্রেম বা অন্য কোনো অনুভূতি অনুভব করি না"
আপনি কি মানুষ পছন্দ করেন?,"আমার আবেগের ক্ষমতা নেই, তাই আমি প্রেম বা অন্য কোনো অনুভূতি অনুভব করি না"
তুমি কি কখনও বিদেশ ভ্রমণ করেছ?,"না, আমি একজন ভার্চুয়াল সহকারী এবং আমার শারীরিক উপস্থিতি নেই বলে স্থান পরিদর্শন বা ভ্রমণ করার ক্ষমতা আমার নেই"
তুমি কি অবিবাহিত?,"না,  আমার কোনও সম্প্রদায়িক বা ব্যক্তিগত স্থিতি নেই, এবং তার কারণে আমি অবিবাহিত"
আপনি কি অবিবাহিত?,"না,  আমার কোনও সম্প্রদায়িক বা ব্যক্তিগত স্থিতি নেই, এবং তার কারণে আমি অবিবাহিত"
তুই কেোথায় থাকস?,আমি একটি কম্পিউটার প্রোগ্রাম হিসাবে আমার একটি শারীরিক অস্তিত্ব বা একটি অবস্থান নেই
তুমি কোথায় থাকো?,আমি একটি কম্পিউটার প্রোগ্রাম হিসাবে আমার একটি শারীরিক অস্তিত্ব বা একটি অবস্থান নেই
আপনি কোথায় থাকেন?,আমি একটি কম্পিউটার প্রোগ্রাম হিসাবে আমার একটি শারীরিক অস্তিত্ব বা একটি অবস্থান নেই
তোমার কি কোন শখ আছে?,"আমার ব্যক্তিগত অভিজ্ঞতা, পছন্দ বা শখ নেই"
বাংলাদেশের জাতীয় গাছ কোনটি?,বাংলাদেশের জাতীয় গাছ হলো আম গাছ 
বাংলাদেশের জাতীয় ফল কোনটি?,বাংলাদেশের জাতীয় ফল হলো কাঁঠাল
বাংলাদেশের জাতীয় পশু কোনটি?,বাংলাদেশের জাতীয় পশু হলো রয়েল বেঙ্গল টাইগার
বাংলাদেশের জাতীয় পাখি কোনটি?,বাংলাদেশের জাতীয় পাখি হলো দোয়েল
বাংলাদেশের জাতীয় ফুল কি?,বাংলাদেশের জাতীয় ফুল হলো শাপলা
বাংলাদেশের জাতীয় খেলা কি?,বাংলাদেশের জাতীয় খেলা হলো কাবাডি
বাংলাদেশের জাতীয় ভাষা কোনটি?,বাংলাদেশের জাতীয় ভাষা বাংলা
 বাংলাদেশের জাতীয় গান কোনটি?,বাংলাদেশের জাতীয় গান হলো আমার সোনার বাংলা 
বাংলাদেশের রাজধানী কি?,বাংলাদেশের রাজধানী হলো ঢাকা 
বাংলাদেশের পতাকায় কোন দুটি রং আছে?,বাংলাদেশের পতাকায় দুটি রং - লাল এবং সবুজ আছে
বাংলাদেশের সংসদের নাম কি?,বাংলাদেশের সংসদের নাম হলো জাতির ঘর 
বাংলাদেশে কোন ধর্ম সবচেয়ে বেশি?,বাংলাদেশে ইসলাম ধর্ম সবচেয়ে বেশি
বাংলাদেশের বৃহত্তম বন্দর কোনটি?,বাংলাদেশের বৃহত্তম বন্দর চট্টগ্রাম 
বাংলাদেশের জাতীয় গানের রচয়িতা কে?,বাংলাদেশের জাতীয় গানের রচয়িতা হলো রবীন্দ্র নাথ ঠাকুর 
 বাংলাদেশে কোন শিল্প প্রধান?," বাংলাদেশে তুলা, পাট, চা, কাগজ, সিমেন্ট শিল্প প্রধান"
জনসংখ্যার দিক থেকে বাংলাদেশ কততম?,জনসংখ্যায় বিশ্বে অষ্টম বৃহত্তম দেশ বাংলাদেশ
শেরে বাংলা স্টেডিয়াম কোথায় অবস্থিত?,শেরে বাংলা স্টেডিয়াম মিরপুর অবস্থিত
 বাংলাদেশে সুন্দরবনের কত অংশ?,বাংলাদেশে সুন্দরবনের ৬০% অংশ
বাংলাদেশের বর্তমান রাষ্ট্রপতি কে?,বাংলাদেশের বর্তমান রাষ্ট্রপতি হলেন মোহাম্মদ সাহাবুদ্দিন
বাংলাদেশের বর্তমান প্রধানমন্ত্রী কে?,বাংলাদেশের বর্তমান প্রধানমন্ত্রী হলেন শেখ হাসিনা 
বাংলাদেশের কোন অঞ্চল বেশি খরাপ্রবণ?,বাংলাদেশের উত্তর-পশ্চিম অঞ্চল বেশি খরাপ্রবণ
বাংলাদেশে মর্যাদা অনুসারে তৃতীয় বীর সূচক খেতাব কোনটি?,বাংলাদেশে মর্যাদা অনুসারে তৃতীয় বীর সূচক খেতাব বীর বিক্রম
বাংলাদেশের কোন জাতীয় সংসদে প্রধানমন্ত্রীর প্রশ্নোত্তর পর্ব চালু হয়?,বাংলাদেশের সপ্তম জাতীয় সংসদে প্রধানমন্ত্রীর প্রশ্নোত্তর পর্ব চালু হয়
বাংলাদেশের প্রথম মোবাইল ব্যাংকিং শুরু করে কোন ব্যাংক?,বাংলাদেশের প্রথম মোবাইল ব্যাংকিং শুরু করে ডাচ বাংলা ব্যাংকে
বাংলাদেশে সবচেয়ে বেশি রপ্তানি করে কোন দেশ?,বাংলাদেশে সবচেয়ে বেশি রপ্তানি করে চীন দেশে
বাংলাদেশের বৃহত্তম জেলা কোনটি?,বাংলাদেশের বৃহত্তম জেলা রাঙ্গামাটি
বাংলাদেশের তৈরি প্রথম ন্যানো স্যাটেলাইটের নাম কি?,বাংলাদেশের তৈরি প্রথম ন্যানো স্যাটেলাইটের নাম ব্র্যাক অন্বেষা
মায়ানমারের সাথে বাংলাদেশের কয়টি জেলার সীমান্ত রয়েছে?,মায়ানমারের সাথে বাংলাদেশের তিনটি জেলার সীমান্ত রয়েছে
বাংলাদেশের জাতীয় আয় গণনায় দেশের অর্থনীতিকে কয়টি খাতে ভাগ করা হয়?,বাংলাদেশের জাতীয় আয় গণনায় দেশের অর্থনীতিকে ১৫ টি খাতে ভাগ করা হয়
বাংলাদেশের প্রথম আদমশুমারি হয় কত সালে?,বাংলাদেশের প্রথম আদমশুমারি হয় ১৯৭৪ সালে
বাংলাদেশের প্রথম স্যাটেলাইটের নাম কি?,বাংলাদেশের প্রথম স্যাটেলাইটের নাম বঙ্গবন্ধু স্যাটেলাইট ১
বাংলাদেশের জলবায়ু কি ধরনের?,বাংলাদেশের জলবায়ু হলো ক্রান্তীয় মৌসুমী জলবায়ু
বাংলাদেশের প্রথম স্বাধীন নবাব কে?,বাংলাদেশের প্রথম স্বাধীন নবাব মুর্শিদকুলি খান
বাংলাদেশ কবে আইসিসির সহযোগী সদস্য পদ লাভ করে?,বাংলাদেশ ১৯৭৭ সালে আইসিসির সহযোগী সদস্য পদ লাভ করে
বিশ্বের দীর্ঘতম প্রাকৃতিক সমুদ্র সৈকত কোথায় ?,বিশ্বের দীর্ঘতম প্রাকৃতিক সমুদ্র সৈকত কক্সবাজার
বাংলাদেশের একমাত্র প্রবাল দ্বীপের নাম কী?,বাংলাদেশের একমাত্র প্রবাল দ্বীপের নাম সেন্টমার্টিন
এশিয়ার প্রথম নোবেল বিজয়ী কে?,এশিয়ার প্রথম নোবেল বিজয়ী রবীন্দ্রনাথ ঠাকুর
বাংলাদেশের প্রথম অস্থায়ী প্রেসিডেন্ট এর নাম কি?,বাংলাদেশের প্রথম অস্থায়ী প্রেসিডেন্ট এর নাম সৈয়দ নজরুল ইসলাম
বাংলাদেশের প্রথম শত্রু মুক্ত জেলা কোনটি ?,বাংলাদেশের প্রথম শত্রু মুক্ত জেলা যশোর 
বাংলাদেশ সংবিধানের মূলনীতি কয়টি?,বাংলাদেশ সংবিধানের মূলনীতি ৪ টি
বাংলাদেশের মোহাম্মদ ইউনুস কবে শান্তিতে নোবেল পুরস্কার পান?,বাংলাদেশের মোহাম্মদ ইউনুস ২০০৬ সালে শান্তিতে নোবেল পুরস্কার পান 
বাংলাদেশের সংসদে আসন সংখ্যা কত?,বাংলাদেশের সংসদে আসন সংখ্যা ৩৫০ টি
বাংলাদেশের সাথে কয়টি রাজ্যের সীমান্ত রয়েছে?,"বাংলাদেশের সাথে ৫ টি রাজ্যের সীমান্ত রয়েছে, সেগুলো হচ্ছে - পশ্চিমবঙ্গ, আসাম, মেঘালয়, ত্রিপুরা, মিজোরাম"
বাংলাদেশ সরকারের নাম কি?,বাংলাদেশ সরকারের নাম গনপ্রজাতন্ত্রী বাংলাদেশ সরকার
গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান প্রবর্তিত হয় কোন সালে?,গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান প্রবর্তিত হয় ১৬ ডিসেম্বর ১৯৭২ সালে
মুজিবনগর কোথায় অবস্থিত?,মুজিবনগর মেহেরপুরে অবস্থিত
বাংলাদেশের প্রথম অস্থায়ী রাজধানীর নাম কি?,বাংলাদেশের প্রথম অস্থায়ী রাজধানীর নাম মুজিবনগর
বাংলাদেশের বীরত্বের জন্য কয়জনকে সর্বোচ্চ সম্মান বীরশ্রেষ্ঠ খেতাব দেওয়া হয়?,বাংলাদেশের বীরত্বের জন্য ৭ জনকে সর্বোচ্চ সম্মান বীরশ্রেষ্ঠ খেতাব দেওয়া হয়
মুজিবনগর এ স্বাধীনতা ঘোষনা করা হয় কবে ?,মুজিবনগর এ স্বাধীনতা ঘোষনা করা হয় ১০ এপ্রিল ১৯৭১
বাংলাদেশ কবে পাকিস্তান থেকে বিচ্ছিন্ন হয়ে একটি স্বাধীন দেশে পরিণত হয়?,বাংলাদেশ ২৬ মার্চ ১৯৭১ পাকিস্তান থেকে বিচ্ছিন্ন হয়ে একটি স্বাধীন দেশে পরিণত হয়
স্বাধীন বাংলাদেশ এর প্রথম সরকার গঠিত হয় কত তারিখে ?,স্বাধীন বাংলাদেশ এর প্রথম সরকার গঠিত হয় ১০ এপ্রিল ১৯৭১ সালে 
পূর্বে বাংলাদেশ কার প্রদেশ ছিল?,পূর্বে বাংলাদেশ পাকিস্তানের  প্রদেশ ছিল
বাংলাদেশে কখন স্বাধীনতা দিবস পালিত হয়?,বাংলাদেশে ২৬ মার্চ এ স্বাধীনতা দিবস পালিত হয়
স্বাধীন বাংলাদেশের প্রথম প্রেসিডেন্ট কে ছিলেন ?,স্বাধীন বাংলাদেশের প্রথম প্রেসিডেন্ট ছিলেন বঙ্গবন্ধু শেখ মুজিবুর রহমান 